,Unnamed: 0,amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
63,63.0,559342.415,0.08000000000000007,9.23,9.36,9.05,9.14,0.8743,9.15,20191220,600812.SH,604163.41
64,64.0,949099.301,-0.9299999999999996,9.15,10.1,9.07,9.97,-9.2262,10.08,20191219,600812.SH,1011413.43
65,65.0,950729.2109999999,-0.3000000000000007,10.08,10.37,9.91,10.3,-2.8902,10.38,20191218,600812.SH,943682.65
66,66.0,1272905.365,0.9400000000000012,10.38,10.38,9.37,9.37,9.9576,9.44,20191217,600812.SH,1257969.84
67,67.0,766340.012,0.41000000000000014,9.44,9.63,8.72,8.94,4.5404,9.03,20191216,600812.SH,845768.85
68,68.0,868945.407,0.5,9.03,9.26,8.39,8.48,5.8617,8.53,20191213,600812.SH,974253.84
69,69.0,879004.959,0.1899999999999995,8.53,9.1,8.03,8.1,2.2782,8.34,20191212,600812.SH,1027812.87
70,70.0,632145.379,0.7599999999999998,8.34,8.34,7.61,7.71,10.0264,7.58,20191211,600812.SH,795977.54
71,71.0,219733.962,-0.16999999999999993,7.58,7.7,7.48,7.7,-2.1935,7.75,20191210,600812.SH,289561.47
72,72.0,234521.671,0.009999999999999787,7.75,7.88,7.59,7.74,0.1292,7.74,20191209,600812.SH,304515.6
73,73.0,300497.691,-0.049999999999999815,7.74,7.94,7.63,7.73,-0.6418,7.79,20191206,600812.SH,386264.44
74,74.0,349489.251,0.03000000000000025,7.79,7.96,7.65,7.8,0.3866,7.76,20191205,600812.SH,447256.78
75,75.0,504659.834,0.21999999999999972,7.76,8.05,7.44,7.53,2.9178,7.54,20191204,600812.SH,645141.88
76,76.0,334107.195,0.4900000000000002,7.54,7.7,6.91,7.01,6.9504,7.05,20191203,600812.SH,456028.57
77,77.0,143305.825,-0.10000000000000052,7.05,7.18,6.98,7.06,-1.3986,7.15,20191202,600812.SH,202760.64
78,78.0,250973.345,0.2400000000000002,7.15,7.45,6.95,6.96,3.4732,6.91,20191129,600812.SH,349227.15
79,79.0,105727.086,0.040000000000000036,6.91,6.96,6.8,6.86,0.5822,6.87,20191128,600812.SH,153591.7
80,80.0,112174.82,-0.040000000000000036,6.87,6.96,6.75,6.91,-0.5789,6.91,20191127,600812.SH,163637.67
81,81.0,183176.97,0.009999999999999787,6.91,7.08,6.81,6.97,0.1449,6.9,20191126,600812.SH,264048.5
82,82.0,280503.13,-0.5699999999999994,6.9,7.45,6.89,7.43,-7.6305,7.47,20191125,600812.SH,397309.54
83,83.0,309867.593,-0.3300000000000001,7.47,7.91,7.35,7.77,-4.2308,7.8,20191122,600812.SH,407796.6
84,84.0,358935.61600000004,-0.16000000000000014,7.8,8.05,7.67,7.74,-2.0101,7.96,20191121,600812.SH,460415.01
85,85.0,624779.494,0.4699999999999998,7.96,8.1,7.39,7.42,6.275,7.49,20191120,600812.SH,804088.7
86,86.0,264230.846,0.15000000000000036,7.49,7.52,7.25,7.32,2.0436,7.34,20191119,600812.SH,358048.55
87,87.0,243180.022,0.09999999999999963,7.34,7.48,7.22,7.33,1.3812,7.24,20191118,600812.SH,330706.25
88,88.0,371120.18299999996,-0.29000000000000004,7.24,7.67,7.2,7.49,-3.8513,7.53,20191115,600812.SH,502471.02
89,89.0,406504.359,-0.09999999999999963,7.53,7.73,7.3,7.5,-1.3106,7.63,20191114,600812.SH,540931.93
90,90.0,498107.31700000004,-0.08999999999999986,7.63,8.26,7.57,8.08,-1.1658,7.72,20191113,600812.SH,631840.9
91,91.0,349276.172,-0.1800000000000006,7.72,7.91,7.51,7.82,-2.2785,7.9,20191112,600812.SH,455332.0
92,92.0,549805.624,0.0600000000000005,7.9,8.08,7.38,7.55,0.7653,7.84,20191111,600812.SH,708842.39
93,93.0,513868.904,-0.040000000000000036,7.84,8.16,7.72,7.83,-0.5076,7.88,20191108,600812.SH,646308.08
94,94.0,667957.937,-0.2399999999999993,7.88,8.15,7.73,8.0,-2.9557,8.12,20191107,600812.SH,846052.56
95,95.0,1138103.744,0.3099999999999996,8.12,8.57,7.42,7.57,3.9693,7.81,20191106,600812.SH,1423320.23
96,96.0,986532.9820000001,0.71,7.81,7.81,7.26,7.4,10.0,7.1,20191105,600812.SH,1299476.87
97,97.0,191573.72199999998,0.6499999999999995,7.1,7.1,6.52,6.52,10.0775,6.45,20191104,600812.SH,276081.88
98,98.0,220952.887,0.1800000000000006,6.45,6.55,6.26,6.27,2.8708,6.27,20191101,600812.SH,342482.6
99,99.0,143485.915,-0.13000000000000078,6.27,6.45,6.24,6.42,-2.0313,6.4,20191031,600812.SH,226444.94
100,100.0,174884.228,-0.17999999999999972,6.4,6.6,6.35,6.58,-2.7356,6.58,20191030,600812.SH,271497.51
