,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
146,603032.SH,20190819,24.33,26.06,24.3,25.12,25.13,-0.00999999999999801,-0.0398,120391.38,301291.472
147,603032.SH,20190816,25.3,26.17,24.22,25.13,23.88,1.25,5.2345,179386.12,448995.268
148,603032.SH,20190815,20.92,23.88,20.51,23.88,21.71,2.169999999999998,9.9954,64495.15,149010.556
149,603032.SH,20190814,21.55,22.29,21.45,21.71,21.26,0.4499999999999993,2.1167,37451.55,81702.533
150,603032.SH,20190813,21.58,21.74,21.2,21.26,21.85,-0.5899999999999999,-2.7002,23395.56,50033.772
151,603032.SH,20190812,21.8,22.1,21.5,21.85,21.6,0.25,1.1574,21207.0,46106.605
152,603032.SH,20190809,22.39,22.53,21.5,21.6,22.45,-0.8499999999999979,-3.7862,34651.2,75955.559
153,603032.SH,20190808,21.97,23.4,21.9,22.45,21.97,0.4800000000000004,2.1848,42147.2,95125.985
154,603032.SH,20190807,21.87,22.8,21.51,21.97,21.7,0.2699999999999996,1.2442,28517.84,63095.269
155,603032.SH,20190806,22.2,22.2,21.0,21.7,22.64,-0.9400000000000013,-4.1519,38243.2,81967.551
156,603032.SH,20190805,22.6,23.1,22.6,22.64,22.6,0.03999999999999915,0.177,25084.2,57306.41
157,603032.SH,20190802,22.78,22.78,22.46,22.6,23.19,-0.5899999999999999,-2.5442,24810.2,56088.116
158,603032.SH,20190801,23.23,23.55,23.07,23.19,23.4,-0.2099999999999973,-0.8974,17305.0,40330.792
159,603032.SH,20190731,23.65,23.73,23.31,23.4,23.77,-0.370000000000001,-1.5566,18673.95,43832.445
160,603032.SH,20190730,23.51,24.11,23.51,23.77,23.71,0.05999999999999872,0.2531,21928.51,52243.881
161,603032.SH,20190729,23.99,24.18,23.62,23.71,23.92,-0.21000000000000085,-0.8779,19646.44,46722.313
162,603032.SH,20190726,23.61,24.31,23.37,23.92,23.67,0.25,1.0562,25203.2,60284.014
163,603032.SH,20190725,23.37,23.96,23.37,23.67,23.83,-0.1599999999999966,-0.6714,25399.64,60113.442
164,603032.SH,20190724,23.2,25.29,23.2,23.83,23.37,0.4599999999999973,1.9683,47879.83,115711.41
165,603032.SH,20190723,23.19,23.45,22.82,23.37,23.19,0.17999999999999972,0.7762,19975.2,46264.53
166,603032.SH,20190722,24.05,24.28,22.88,23.19,24.04,-0.8499999999999979,-3.5358,28422.2,66239.118
167,603032.SH,20190719,24.08,24.4,23.97,24.04,24.05,-0.010000000000001563,-0.0416,17117.4,41400.504
168,603032.SH,20190718,24.8,24.8,23.9,24.05,24.87,-0.8200000000000003,-3.2971,22708.0,54952.326
169,603032.SH,20190717,25.0,25.17,24.84,24.87,25.0,-0.129999999999999,-0.52,17796.0,44465.73
170,603032.SH,20190716,25.01,25.33,24.9,25.0,24.97,0.030000000000001137,0.1201,19698.1,49384.979
171,603032.SH,20190715,24.1,25.25,24.1,24.97,24.39,0.5799999999999983,2.378,24406.6,60334.364
172,603032.SH,20190712,24.88,25.08,23.0,24.39,24.82,-0.4299999999999997,-1.7325,22524.6,54721.694
173,603032.SH,20190711,24.8383,25.3869,24.7684,24.8183,24.7784,0.03989999999999938,0.161,18505.0,46462.277
174,603032.SH,20190710,25.2073,25.347,24.7385,24.7784,25.2073,-0.4288999999999987,-1.7015,18943.41,47599.451
175,603032.SH,20190709,25.1275,25.347,24.9081,25.2073,24.8881,0.3191999999999986,1.2825,18999.31,47953.057
176,603032.SH,20190708,25.746,25.746,24.5989,24.8881,25.756,-0.8678999999999988,-3.3697,30245.0,75819.13
177,603032.SH,20190705,25.9754,25.9754,25.4368,25.756,26.0752,-0.3191999999999986,-1.2242,24565.0,63358.032
178,603032.SH,20190704,26.0253,26.2348,25.9555,26.0752,26.0353,0.03989999999999938,0.1533,20412.01,53328.475
179,603032.SH,20190703,26.3844,26.4642,25.9355,26.0353,26.8134,-0.778100000000002,-2.9019,41006.8,107214.692
180,603032.SH,20190702,26.3345,28.15,26.0153,26.8134,26.155,0.6584000000000003,2.5173,77988.6,209862.901
181,603032.SH,20190701,26.3844,26.3844,25.9655,26.155,25.4966,0.6584000000000003,2.5823,38870.0,101774.534
182,603032.SH,20190628,26.4343,26.4642,25.367,25.4966,26.1749,-0.6783000000000001,-2.5914,28307.6,72971.417
183,603032.SH,20190627,26.3844,26.5939,26.135,26.1749,26.3645,-0.18959999999999866,-0.7191,31751.0,83854.31
184,603032.SH,20190626,26.1849,26.7236,26.0951,26.3645,26.1849,0.17960000000000065,0.6859,31790.0,84079.267
185,603032.SH,20190625,26.7136,26.7136,25.6463,26.1849,26.7136,-0.5287000000000006,-1.9791,37714.6,98460.994
186,603032.SH,20190624,26.8832,26.9331,26.4941,26.7136,27.3021,-0.5884999999999998,-2.1555,42436.4,113600.55
187,603032.SH,20190621,26.0852,28.2298,26.0852,27.3021,26.3844,0.9177,3.4782,76198.9,206759.04
188,603032.SH,20190620,25.8358,26.8233,25.2073,26.3844,25.8956,0.4887999999999977,1.8876,54079.0,142705.64
189,603032.SH,20190619,26.534,26.9231,25.8458,25.8956,25.9355,-0.03989999999999938,-0.1538,47097.6,124414.851
190,603032.SH,20190618,25.3869,25.9355,24.958,25.9355,25.5565,0.37900000000000134,1.483,33278.0,85572.213
191,603032.SH,20190617,25.2073,25.9056,25.2073,25.5565,25.5964,-0.03989999999999938,-0.1559,26292.4,67433.786
192,603032.SH,20190614,26.564,26.8832,25.2173,25.5964,26.4941,-0.8977000000000004,-3.3883,53244.6,138395.273
193,603032.SH,20190613,26.3345,26.9131,26.2148,26.4941,27.3221,-0.8279999999999994,-3.0305,66628.8,177400.076
194,603032.SH,20190612,28.0403,29.0279,27.3121,27.3221,27.4019,-0.07980000000000231,-0.2912,122513.3,346840.435
195,603032.SH,20190611,24.9081,27.4019,24.7485,27.4019,24.9081,2.4938000000000002,10.012,54360.3,144037.848
196,603032.SH,20190610,24.8881,24.938,23.5914,24.9081,24.958,-0.04989999999999739,-0.1999,48841.4,119021.989
197,603032.SH,20190606,26.554,26.7735,24.6787,24.958,26.534,-1.5760000000000005,-5.9395,44308.6,112278.715
198,603032.SH,20190605,27.4119,27.4119,26.4542,26.534,26.9331,-0.3991000000000007,-1.4818,31523.8,84561.048
199,603032.SH,20190604,28.3894,28.4094,26.7834,26.9331,28.3894,-1.4562999999999988,-5.1297,48625.09,132654.371
200,603032.SH,20190603,28.2498,28.8184,28.1999,28.3894,28.2498,0.13959999999999795,0.4942,40739.5,116377.833
201,603032.SH,20190531,28.4293,28.9281,28.1301,28.2498,28.3396,-0.08980000000000032,-0.3169,38760.8,110504.303
202,603032.SH,20190530,28.9181,29.2373,27.8508,28.3396,29.0179,-0.6783000000000001,-2.3375,49327.22,140446.523
203,603032.SH,20190529,29.4069,29.6264,28.9181,29.0179,29.6264,-0.6084999999999994,-2.0539,49115.1,143731.019
204,603032.SH,20190528,30.175,30.5042,29.3072,29.6264,30.3047,-0.6783000000000001,-2.2383,71052.79,213189.507
205,603032.SH,20190527,30.155,30.3246,29.367,30.3047,29.786,0.518699999999999,1.7414,60783.63,182446.668
206,603032.SH,20190524,29.0179,30.1151,28.7685,29.786,29.1675,0.6185000000000009,2.1205,58452.62,174165.21
207,603032.SH,20190523,29.0777,30.2249,28.4992,29.1675,29.4867,-0.3191999999999986,-1.0825,52597.01,154905.848
208,603032.SH,20190522,29.387,31.0029,29.0478,29.4867,29.2274,0.25929999999999964,0.8872,62066.19,186232.337
209,603032.SH,20190521,28.4892,29.7062,27.9505,29.2274,28.6288,0.5986000000000011,2.0909,53318.59,155561.357
210,603032.SH,20190520,29.2872,29.7261,26.4343,28.6288,29.1974,-0.5686,-1.9474,58390.75,163842.627
211,603032.SH,20190517,30.4244,31.4518,28.4293,29.1974,31.2224,-2.025000000000002,-6.4857,73333.55,221313.657
212,603032.SH,20190516,33.2174,33.4967,31.1226,31.2224,32.0703,-0.8479000000000028,-2.6439,120690.77,392690.045
213,603032.SH,20190515,29.6862,32.0703,29.1775,32.0703,29.1575,2.9128000000000043,9.9899,57718.85,179958.676
214,603032.SH,20190514,28.5989,29.4269,28.2697,29.1575,28.9181,0.23939999999999984,0.8279,47329.8,137893.376
215,603032.SH,20190513,29.3271,29.7261,28.7386,28.9181,29.4767,-0.558600000000002,-1.8951,48338.56,141223.067
216,603032.SH,20190510,28.9081,29.4867,27.2523,29.4767,28.3296,1.1471000000000018,4.0491,77228.0,223298.671
217,603032.SH,20190509,28.3495,29.0777,28.0603,28.3296,28.4393,-0.10970000000000013,-0.3857,44535.8,127583.935
218,603032.SH,20190508,28.4393,29.2274,27.6413,28.4393,29.2673,-0.8279999999999994,-2.8291,54897.4,156700.736
219,603032.SH,20190507,28.2498,30.8832,28.2498,29.2673,30.9531,-1.6858000000000004,-5.4463,81578.52,240471.198
220,603032.SH,20190506,33.6962,33.7361,30.9531,30.9531,34.3945,-3.4414000000000016,-10.0057,50015.93,156901.028
221,603032.SH,20190430,33.9157,35.791,33.8658,34.3945,34.8633,-0.46880000000000166,-1.3447,70447.64,245602.554
222,603032.SH,20190429,33.6264,35.8908,33.6264,34.8633,33.6264,1.2369000000000057,3.6784,101004.01,354851.919
223,603032.SH,20190426,34.9132,35.7112,33.1676,33.6264,35.1127,-1.4863,-4.2329,68551.4,238550.53
224,603032.SH,20190425,36.6788,37.6764,34.9132,35.1127,36.3098,-1.197100000000006,-3.2969,92031.2,334534.948
225,603032.SH,20190424,36.4594,38.1452,36.21,36.3098,35.6514,0.6584000000000003,1.8468,90811.2,337391.316
226,603032.SH,20190423,37.6065,38.6938,34.9132,35.6514,38.5841,-2.932699999999997,-7.6008,107655.05,399766.328
227,603032.SH,20190422,37.9058,39.7013,37.018,38.5841,38.0055,0.5786000000000016,1.5224,147268.92,569490.574
228,603032.SH,20190419,36.4095,38.9033,36.3098,38.0055,36.3098,1.695699999999995,4.6701,160356.08,606591.355
229,603032.SH,20190418,35.9107,37.4669,35.4619,36.3098,36.1302,0.17960000000000065,0.4971,115923.52,423421.118
230,603032.SH,20190417,35.1626,36.8684,34.8135,36.1302,35.2324,0.8978000000000037,2.5482,103403.79,373309.79
231,603032.SH,20190416,34.5242,35.4918,33.8958,35.2324,34.8135,0.4189000000000007,1.2033,63576.64,221518.319
232,603032.SH,20190415,34.9132,35.7811,34.7337,34.8135,34.3646,0.44889999999999475,1.3063,72990.93,257667.932
233,603032.SH,20190412,34.6239,35.013,34.1252,34.3646,34.5142,-0.1495999999999995,-0.4334,67131.74,232225.77
234,603032.SH,20190411,35.3821,36.609,34.4145,34.5142,37.0878,-2.573599999999999,-6.9392,154518.6,544824.742
235,603032.SH,20190410,39.2026,41.3971,36.998,37.0878,37.7362,-0.6483999999999952,-1.7182,260024.07,1029802.248
236,603032.SH,20190409,33.9357,37.7362,33.9357,37.7362,34.3047,3.4314999999999998,10.003,166335.14,607794.486
